DCA License Number,License Type,License Expiration Date,Business Name,Business Name 2,Address Building,Address Street Name,Secondary Address Street Name,Address City,Address State,Address ZIP,Contact Phone Number,Address Borough,Borough Code
0367606-DCA,Business,03/31/2019,SUPPORT PARKING LLC,,350,E 52ND ST,,NEW YORK,NY,10022,2126869800,Manhattan,1
1380047-DCA,Business,03/31/2019,CLARIDGE 87 PARKING LLC,,201,E 87TH ST,,NEW YORK,NY,10128,2126869800,Manhattan,1
1182377-DCA,Business,03/31/2019,PRONTO PARKING CORP,,169,E 65TH ST,,NEW YORK,NY,10065,2124903460,Manhattan,1
1463796-DCA,Business,03/31/2019,QUIK PARK CHARLES STREET LLC,,97,CHARLES ST,,NEW YORK,NY,10014,2126869800,Manhattan,1
1351758-DCA,Business,03/31/2015,STANDARD PARKING CORPORATION,,10460,QUEENS BLVD,,FOREST HILLS,NY,11375,7188971220,Queens,4
2066878-DCA,Business,03/31/2019,"UNISPHERE MANAGEMENT, LLC",,13618,41ST AVE,,FLUSHING,NY,11355,,Queens,4
1231157-DCA,Business,03/31/2019,"MURRAY PARK GARAGE CO., LLC",,120,E 34TH ST,,NEW YORK,NY,10016,2122139600,Manhattan,1
2024014-DCA,Business,03/31/2019,62 MULBERRY PARKING CORP,,62,MULBERRY ST,,NEW YORK,NY,10013,212-736-7171,Manhattan,1
1125528-DCA,Business,03/31/2019,WORLD PARKING GARAGE LLC,,1,CENTRAL PARK W,,NEW YORK,NY,10023,2125643199,Manhattan,1
2051515-DCA,Business,03/31/2019,ADD PARK INC,,3213,3RD AVE,,BRONX,NY,10451,7189939003,Bronx,2
0916698-DCA,Business,03/31/2017,SHARP PARKING LLC,SHARP PARKING,825,2ND AVE,,NEW YORK,NY,10017,2126869800,Manhattan,1
1177630-DCA,Business,03/31/2017,METROPOLITAN PARKING GROUP LLC,,4172,BROADWAY,,NEW YORK,NY,10033,2124903460,Manhattan,1
2015979-DCA,Business,03/31/2017,"IMPERIAL PARKING US, LLC",IMPARK,40,PROSPECT ST,,STATEN ISLAND,NY,10304,2129378660,Staten Island,5
1312446-DCA,Business,03/31/2019,STELLMAR PARKING LLC,,27,E 65TH ST,,NEW YORK,NY,10065,212-879-8798,Manhattan,1
1387235-DCA,Business,03/31/2015,222 WEST 14TH STREET PARKING CORP.,,222,W 14TH ST,,NEW YORK,NY,10011,2122485900,Manhattan,1
1381379-DCA,Business,03/31/2017,LEMAR PARKING CORP.,,519,W 161ST ST,,NEW YORK,NY,10032,718-681-7406,Manhattan,1
2009960-DCA,Business,03/31/2015,189 PKG LLC,,4741,PARK AVE,,BRONX,NY,10458,917-731-2034,Bronx,2
0819247-DCA,Business,03/31/2019,RELIANT PARKING LLC,,225,W 83RD ST,,NEW YORK,NY,10024,2126869800,Manhattan,1
1009614-DCA,Business,03/31/2019,"DISCOUNT PARKING, INC",,180,ASHLAND PL,,BROOKLYN,NY,11217,5166267412,Brooklyn,3
2020697-DCA,Business,03/31/2019,LOREN'S PARKING GARAGE CORPORATON,,4035,PARK AVE,,BRONX,NY,10457,212-244-2332,Bronx,2
1432047-DCA,Business,03/31/2019,EZ2 PARK LLC,,240,E 82ND ST,,NEW YORK,NY,10028,2127446300,Manhattan,1
0900020-DCA,Business,03/31/2019,615 GARAGE CORPORATION,,800,5TH AVE,,NEW YORK,NY,10065,2129355252,Manhattan,1
1262404-DCA,Business,03/31/2017,RIBAR PARKING LLC,,160,W 10TH ST,,NEW YORK,NY,10014,2129293041,Manhattan,1
2026148-DCA,Business,03/31/2019,GEMAT PARKING CORP.,,233,E 69TH ST,,NEW YORK,NY,10021,2124220423,Manhattan,1
1371568-DCA,Business,03/31/2019,"PARKING SERVICES PLUS, INC.",,7710,41ST AVE,,ELMHURST,NY,11373,5168254661,Queens,4
1463594-DCA,Business,03/31/2019,"KINNEY PARKING SYSTEM, LLC",,58,W 58TH ST,,NEW YORK,NY,10019,2125025490,Manhattan,1
1127924-DCA,Business,03/31/2019,2 LINCOLN PARKING LLC,,2,LINCOLN PLZ,,NEW YORK,NY,10023,2126869800,Manhattan,1
0429461-DCA,Business,03/31/2019,1056 5TH AVE. PARKING LLC,,1056,5TH AVE,,NEW YORK,NY,10028,2126869800,Manhattan,1
2003398-DCA,Business,03/31/2019,"DIAMOND 1 PARKING GARAGE, INC.",,284,DYCKMAN ST,,NEW YORK,NY,10034,347-843-5023,Manhattan,1
1463921-DCA,Business,03/31/2019,QUIK PARK NASSAU LLC,,150,NASSAU ST,,NEW YORK,NY,10038,2128322066,Manhattan,1
2001361-DCA,Business,03/31/2015,"CENTRAL PARKING SYSTEM OF NEW YORK, INC",,115,E 87TH ST,,NEW YORK,NY,10128,2125025490,Manhattan,1
2056050-DCA,Business,03/31/2019,F & A PARKING CORP,24 HOURS PARKING GARAGE,333,GREENE AVE,,BROOKLYN,NY,11238,718-399-2640,Brooklyn,3
1218380-DCA,Business,03/31/2019,444 MANHATTAN PARKING CORP.,,309,W 118TH ST,,NEW YORK,NY,10026,,Manhattan,1
1076044-DCA,Business,03/31/2019,"WATERVIEW PARKING, INC.",,180,E END AVE,,NEW YORK,NY,10128,2126509320,Manhattan,1
0921085-DCA,Business,03/31/2019,"ABC PARKING, CORP.",,2070,WHITE PLAINS RD,,BRONX,NY,10462,7188025611,Bronx,2
1402130-DCA,Business,03/31/2015,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,800,AVENUE OF THE AMERICAS,,NEW YORK,NY,10001,2125025490,Manhattan,1
1444907-DCA,Business,03/31/2015,PIERCE PARKING LLC,,80,W END AVE,,NEW YORK,NY,10023,2127143571,Manhattan,1
1254341-DCA,Business,03/31/2019,WESTSIDE 42 PARKING LLC,,350,W 42ND ST,,NEW YORK,NY,10036,212-686-9800,Manhattan,1
2059806-DCA,Business,03/31/2019,JO DASH PARKING LLC,,488,3RD AVE,,NEW YORK,NY,10016,2126869800,Manhattan,1
1437468-DCA,Business,03/31/2019,"W K PARKING, CORP",,525,E 11TH ST,,NEW YORK,NY,10009,2127373279,Manhattan,1
2007093-DCA,Business,09/04/2016,"CONEY ISLAND COMMONS PARKING, CORP",,2960,W 29TH ST,,BROOKLYN,NY,11224,7182850102,Brooklyn,3
1423057-DCA,Business,03/31/2019,"MIDWAY CAR PARK, LLC",,10802,QUEENS BLVD,,FOREST HILLS,NY,11375,2129966363,Queens,4
0368185-DCA,Business,03/31/2017,BRICIN PARKING CORP.,,155,E 55TH ST,,NEW YORK,NY,10022,2127565451,Manhattan,1
0369933-DCA,Business,03/31/2019,ZEPHYR PARKING LLC,,132,E 35TH ST,,NEW YORK,NY,10016,2126869800,Manhattan,1
1455314-DCA,Business,03/31/2019,"IMPERIAL PARKING (U.S.), LLC",,405,E 63RD ST,,NEW YORK,NY,10065,2129378660,Manhattan,1
1251175-DCA,Business,03/31/2017,CONTINENTAL TOWERS PARKING LLC,,301,E 79TH ST,,NEW YORK,NY,10075,2126501936,Manhattan,1
0979174-DCA,Business,03/31/2019,CLINTON HILL GARAGE CORP.,,240,VANDERBILT AVE,,BROOKLYN,NY,11205,3476023636,Brooklyn,3
1010916-DCA,Business,03/31/2015,375 HUD PARKING LLC,,375,HUDSON ST,,NEW YORK,NY,10014,2126869800,Manhattan,1
1464918-DCA,Business,03/31/2015,"KINNEY PARKING SYSTEM, LLC",,6575,SAUNDERS ST,,REGO PARK,NY,11374,2125025490,Queens,4
2002321-DCA,Business,03/31/2019,PLATT PARKING LLC,,90,JOHN ST,,NEW YORK,NY,10038,2126869800,Manhattan,1
2054279-DCA,Business,06/13/2017,"87-10 NORTHERN BLVD PARKING, LLC",,3306,88TH ST,,JACKSON HEIGHTS,NY,11372,9175924762,Queens,4
1416883-DCA,Business,03/31/2015,CP PARKING CORP.,,13331,39TH AVE,,FLUSHING,NY,11354,9175785635,Queens,4
1146395-DCA,Business,03/31/2019,REGAL PARKING CORP.,,9810,64TH AVE,,REGO PARK,NY,11374,2127367171,Queens,4
0913526-DCA,Business,03/31/2019,CHAMPION PARKING 83RD ST CORP,CHAMPION PARKING 83RD ST,303,E 83RD ST,,NEW YORK,NY,10028,212-308-5959,Manhattan,1
1471216-DCA,Business,03/31/2015,115 WEST 25TH STREET PARKING CORP.,,112,W 25TH ST,,NEW YORK,NY,10001,2122439808,Manhattan,1
1228853-DCA,Business,03/31/2019,"GREENE HOUSE CAR PARK, LLC",GGMC,381,CARLTON AVE,,BROOKLYN,NY,11238,2129966363,Brooklyn,3
2000569-DCA,Business,03/31/2015,"CENTRAL PARKING SYSTEM OF NEW YORK, INC",,75,PARK PLACE,,NEW YORK,NY,10016,2125025490,Manhattan,1
1415772-DCA,Business,03/31/2019,QUIK PARK EAST 46TH STREET LLC,,300,E 46TH ST,,NEW YORK,NY,10017,2128322066,Manhattan,1
1261900-DCA,Business,03/31/2019,"LEONARD STREET PARKING, LLC",,88,LEONARD ST,,NEW YORK,NY,10013,9736437700,Manhattan,1
2031027-DCA,Business,01/14/2016,"IMPERIAL PARKING (U.S.), LLC",IMPARK,353,4TH AVE,,BROOKLYN,NY,11215,212-934-8660,Brooklyn,3
0800489-DCA,Business,03/31/2019,"MUSS, HYMAN - ET AL",C E TOWERS CO,11835,QUEENS BLVD,,FOREST HILLS,NY,11375,7182633800,Queens,4
1245036-DCA,Business,03/31/2019,WELCOME PARKING LIMITED LIABILITY COMPANY,,601,AMBOY ST,,BROOKLYN,NY,11212,2016807129,Brooklyn,3
1216345-DCA,Business,03/31/2015,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,351,JAY ST,,BROOKLYN,NY,11201,7186254215,Brooklyn,3
1364519-DCA,Business,03/31/2019,QUIK PARK 1133 GARAGE LLC,,1133,AVENUE OF THE AMERICAS,,NEW YORK,NY,10036,2128322066,Manhattan,1
2034099-DCA,Business,03/31/2017,LM SUSIE PARKING LLC,,214,W 95TH ST,,NEW YORK,NY,10025,2127143571,Manhattan,1
0469373-DCA,Business,03/31/2019,EQUITY PARKING LLC,CDIAZ@ICONPARKING.COM,1441,2ND AVE,,NEW YORK,NY,10021,2126869800,Manhattan,1
1148653-DCA,Business,03/31/2019,UPTOWN PARKING CORP.,,1721-1735,AMSTERDAM AVE,,NEW YORK,NY,00000,2124903460,,
1352539-DCA,Business,03/31/2019,ANITA HOLDING LLC,,9905,63RD DR,,REGO PARK,NY,11374,2125642111,Queens,4
2011162-DCA,Business,03/31/2015,k one parking inc,,2160,WEBSTER AVE,,BRONX,NY,10457,3478545507,Bronx,2
1186204-DCA,Business,03/31/2015,"I. R. PARKING, INC",,112,W 25TH ST,,NEW YORK,NY,10001,5169381310,Manhattan,1
1402662-DCA,Business,03/31/2019,330 THIRD PARKING CORP.,,330,3RD AVE,,NEW YORK,NY,10010,2127367171,Manhattan,1
1216515-DCA,Business,03/31/2019,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,15,METROTECH CTR,,BROOKLYN,NY,11201,9175456763,Brooklyn,3
2014360-DCA,Business,03/31/2017,EHTE PARKING CORP,,357,E 57TH ST,,NEW YORK,NY,10022,2128381629,Manhattan,1
0368910-DCA,Business,03/31/2017,CHATHAM PARKING SYSTEMS INC.,,180,PARK ROW,,NEW YORK,NY,10038,2125137143,Manhattan,1
1440450-DCA,Business,03/31/2019,QUIK PARK PCVST GARAGE LLC,,528,E 20TH ST,,NEW YORK,NY,10009,2126145862,Manhattan,1
1234400-DCA,Business,03/31/2019,304060 PARKING LLC,,60,E 9TH ST,,NEW YORK,NY,10003,2126869800,Manhattan,1
1339252-DCA,Business,03/31/2019,MANHATTAN PARKING WEST 45 STREET CORP,,120,W 45TH ST,,NEW YORK,NY,10036,212-490-3460,Manhattan,1
1232453-DCA,Business,03/31/2019,MARKET 15 PARKING LLC,,552,AVENUE OF THE AMERICAS,,NEW YORK,NY,10011,2126869800,Manhattan,1
1317191-DCA,Business,03/31/2019,QUIK PARK CHESAPEAKE LLC,,400,E 81ST ST,,NEW YORK,NY,10028,2128322066,Manhattan,1
2005860-DCA,Business,03/31/2019,HAPPY FACE PARKING CORP.,,1560,JEROME AVE,,BRONX,NY,10452,718-583-3301,Bronx,2
2022495-DCA,Business,03/31/2017,"QSB 267 PROPERTY CO, LLC",,271,W 87TH ST,,NEW YORK,NY,10024,,Manhattan,1
2023734-DCA,Business,03/31/2019,JORIAN PARK LLC,,8213,37TH AVE,,JACKSON HEIGHTS,NY,11372,7187794774,Queens,4
0369346-DCA,Business,03/31/2017,NOBLE PARKING LLC,,310,E 40TH ST,,NEW YORK,NY,10016,212-686-9800,Manhattan,1
0429690-DCA,Business,03/31/2019,"MUTUAL PARKING, INC.",,605,E 82ND ST,,NEW YORK,NY,10028,2128887400,Manhattan,1
0962302-DCA,Business,03/31/2019,VIP CAPITAL PARKING CORPORATION,,298,MULBERRY ST,,NEW YORK,NY,10012,2129253331,Manhattan,1
2008790-DCA,Business,03/31/2019,WEST 43 PARKING LLC,,635,W 42ND ST,,NEW YORK,NY,10036,2122624771,Manhattan,1
1401121-DCA,Business,03/20/2017,CHAMPION PARKING 61 LLC,,1113,YORK AVE,,NEW YORK,NY,10065,2123085959,Manhattan,1
2019665-DCA,Business,03/31/2019,93RD STREET PARKING LLC,,100,W 93RD ST,,NEW YORK,NY,10025,212-686-9800,Manhattan,1
0896827-DCA,Business,03/31/2015,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,75,PARK PL,,NEW YORK,NY,10007,2125649199,Manhattan,1
1020999-DCA,Business,03/31/2019,1114 SIXTH PARKING LLC,,1114,AVENUE OF THE AMERICAS,,NEW YORK,NY,10036,212-686-9800,Manhattan,1
2045174-DCA,Business,03/31/2019,SHARP 22 PARKING LLC,,329,E 22ND ST,,NEW YORK,NY,10010,2126869800,Manhattan,1
0920557-DCA,Business,03/31/2019,BASIC PARKING CORP.,,225,E 46TH ST,,NEW YORK,NY,10017,2129802006,Manhattan,1
1386654-DCA,Business,09/30/2017,"2000 PARKING GARAGE, INC.",,2000,WHITE PLAINS RD,,BRONX,NY,10462,3478435023,Bronx,2
2018213-DCA,Business,03/31/2019,106 Mott Street Parking Corp,,106,MOTT ST,,NEW YORK,NY,10013,2127419009,Manhattan,1
1469508-DCA,Business,03/31/2019,VINCENT 15 PARKING LLC,,553,AVENUE OF THE AMERICAS,,NEW YORK,NY,10011,2126869800,,
1204173-DCA,Business,03/31/2019,TUNNEL 34 PARKING LLC,,222,E 34TH ST,,NEW YORK,NY,10016,2126869800,Manhattan,1
2047160-DCA,Business,03/31/2019,"337 GARAGE, L.L.C.",,337,E 64TH ST,,NEW YORK,NY,10065,2128887400,Manhattan,1
0429528-DCA,Business,03/31/2015,52 WEST 36TH ST. PARKING LLC,,59,W 36TH ST,,NEW YORK,NY,10018,2126869800,Manhattan,1
1066286-DCA,Business,03/31/2019,"SANFORD TOWER GARAGE, INC.",,13347,SANFORD AVE,,FLUSHING,NY,11355,7183598058,Queens,4
1244293-DCA,Business,03/31/2019,PACIFIC PARKING LLC,,700,PACIFIC ST,,BROOKLYN,NY,11217,2033212129,Brooklyn,3
1020843-DCA,Business,03/31/2015,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,1900,ARCHER ST,,BRONX,NY,10462,2126296602,Bronx,2
1251102-DCA,Business,03/31/2019,JENUWEN CAR PARK INC.,,580,FLATBUSH AVE,,BROOKLYN,NY,11225,2122216111,Brooklyn,3
1399983-DCA,Business,03/31/2019,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,345,S END AVE,,NEW YORK,NY,10280,9175456763,Manhattan,1
2008327-DCA,Business,07/06/2018,LOWER EAST SIDE DISTRICT MANAGEMENT ASSOCIATION INC,,135,DELANCEY ST,,NEW YORK,NY,10002,212-276-9010,Manhattan,1
2032379-DCA,Business,03/31/2019,WEST 161ST PARKING CORP,,519,W 161ST ST,,NEW YORK,NY,10032,6469283465,Manhattan,1
2024664-DCA,Business,03/31/2019,8930 PARKING LLC,EXCEL PARKING,8936,SUTPHIN BLVD,,JAMAICA,NY,11435,212-837-4509,Queens,4
2030398-DCA,Business,03/31/2019,"YORKVILLE CAR PARK, LLC",,1635,3RD AVE,,NEW YORK,NY,10128,,Manhattan,1
1061198-DCA,Business,03/31/2019,101 WEST END PARKING LLC,,101,W END AVE,,NEW YORK,NY,10023,2126869800,Manhattan,1
2020709-DCA,Business,03/31/2019,IMPERIAL PARKING US LLC,IMPARK,80,PARK AVE,,NEW YORK,NY,10016,2125573311,Manhattan,1
1331277-DCA,Business,03/31/2015,CHAMPION PARKING 77 LLC,,219,W 77TH ST,,NEW YORK,NY,10024,2123085959,Manhattan,1
1472956-DCA,Business,03/31/2015,CANDACE PARKING CORP.,,120,W 97TH ST,,NEW YORK,NY,10025,2124903460,Manhattan,1
1460642-DCA,Business,03/31/2019,ENTERPRISE 37 EAST PARKING LLC,,415,E 37TH ST,,NEW YORK,NY,10016,2125643199,Manhattan,1
1221665-DCA,Business,03/31/2019,"SWEETS PARKING I, INC.",,437,MADISON AVE,,NEW YORK,NY,10022,2127533100,Manhattan,1
1387697-DCA,Business,01/01/2015,QUIK PARK 801 GARAGE LLC,,801,AMSTERDAM AVE,,NEW YORK,NY,10025,2128322066,Manhattan,1
1320334-DCA,Business,03/31/2017,QUIK PARK RIVERSIDE GARAGE LLC,,779,RIVERSIDE DR,,NEW YORK,NY,10032,2128322066,Manhattan,1
2024463-DCA,Business,10/21/2015,MP WEST 57TH LLC,,9,W 57TH ST,,NEW YORK,NY,10019,2124903460,Manhattan,1
2064173-DCA,Business,03/31/2019,JKH BUSINESS CORP,,1579,UNDERCLIFF AVE,,BRONX,NY,10453,,Bronx,2
1400316-DCA,Business,03/31/2019,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,365,S END AVE,,NEW YORK,NY,10280,9175456763,Manhattan,1
1070451-DCA,Business,03/31/2015,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,350,E 30TH ST,,NEW YORK,NY,10016,2127798311,Manhattan,1
1361354-DCA,Business,03/31/2019,EAST 61ST STREET PARKING GARAGE CORP.,,150,E 61ST ST,,NEW YORK,NY,10065,212-736-7171,Manhattan,1
1461246-DCA,Business,03/31/2019,"IMPERIAL PARKING (U.S.), LLC.",IMPARK,212,S OXFORD ST,,BROOKLYN,NY,11217,2129378660,Brooklyn,3
1463452-DCA,Business,03/31/2015,"KINNEY PARKING SYSTEM, LLC",,215,W 87TH ST,,NEW YORK,NY,10024,2125025490,Manhattan,1
2048149-DCA,Business,03/31/2019,EZ PARKING GARAGE INC,,870,JENNINGS ST,,BRONX,NY,10459,3472207660,Bronx,2
2001452-DCA,Business,03/31/2019,"ONE PARKING STRATHMORE, LLC",,400,E 84TH ST,,NEW YORK,NY,10028,480-272-2100,Manhattan,1
1398262-DCA,Business,03/31/2017,"PARK IN AUTO SERVICES, INC.",,71,KENMARE ST,,NEW YORK,NY,10012,2129661186,Manhattan,1
1413066-DCA,Business,09/20/2016,"ST. ANN'S PARKING GARAGE, LLC",,800,SAINT ANNS AVE,,BRONX,NY,10456,7184080141,Bronx,2
0981503-DCA,Business,03/31/2019,SKY PARKING CORP.,,121,READE ST,,NEW YORK,NY,10013,2126083060,Manhattan,1
0818314-DCA,Business,03/31/2019,CUSTOM PARKING LLC,,184,E 64TH ST,,NEW YORK,NY,10065,2126869800,Manhattan,1
2001484-DCA,Business,03/31/2019,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",,214,W 80TH ST,,NEW YORK,NY,10024,212-502-5490,Manhattan,1
1439430-DCA,Business,03/31/2019,CHAMPION PARKING 90 LLC,,60,E 90TH ST,,NEW YORK,NY,10128,2123085959,Manhattan,1
1234291-DCA,Business,03/31/2019,304060 PARKING LLC,,30,E 9TH ST,,NEW YORK,NY,10003,2126869800,Manhattan,1
0469348-DCA,Business,03/31/2015,GEMAT PARKING CORP.,,233,E 69TH ST,,NEW YORK,NY,10021,2125359302,Manhattan,1
1360546-DCA,Business,02/17/2015,"ATLANTIC PARKING MGMT, LLC",,238,ATLANTIC AVE,,BROOKLYN,NY,11201,2127957275,Brooklyn,3
0999985-DCA,Business,03/31/2015,"CENTRAL PARKING SYSTEM OF NEW YORK,INC.",,115,FORT WASHINGTON AVE,,NEW YORK,NY,10032,2123052718,Manhattan,1
1446388-DCA,Business,03/31/2017,"BOGOPA LIC, INC.",FOOD BAZAAR,4202,NORTHERN BLVD,,LONG IS CITY,NY,11101,7183466500,Queens,4
1379494-DCA,Business,03/31/2017,ONE PARKING 200 PARK INC.,ONE PARKING,200,PARK AVE,,NEW YORK,NY,10166,5618337222,Manhattan,1
2051104-DCA,Business,03/31/2019,LENOX PARKING GARAGE LLC,,380,LENOX AVE,,NEW YORK,NY,10027,2032029746,Manhattan,1
1012409-DCA,Business,03/31/2019,99 JANE STREET PARKING LLC,,99,JANE ST,,NEW YORK,NY,10014,212-686-9800,Manhattan,1
1396795-DCA,Business,03/31/2019,ENTERPRISE 62ND PARKING LLC,,301,E 62ND ST,,NEW YORK,NY,10065,212-564-3199,Manhattan,1
2024665-DCA,Business,03/31/2017,"252 PARKING, LLC",EXCEL PARKING,252,SCHERMERHORN ST,,BROOKLYN,NY,11217,212-837-4509,Brooklyn,3
2001619-DCA,Business,03/31/2019,34 NORTH 7TH PARKING CORP.,,27,N 6TH ST,,BROOKLYN,NY,11249,2127367171,Brooklyn,3
1298768-DCA,Business,03/31/2019,LEXINGTON 58 PARKING LLC,,150,E 58TH ST,,NEW YORK,NY,10155,2126869800,Manhattan,1
1364538-DCA,Business,03/31/2019,CHAMPION PARKING 81 LLC,,1533,YORK AVE,,NEW YORK,NY,10028,2125358005,Manhattan,1
1103762-DCA,Business,03/31/2019,SHERMAN PARKING INC.,,210,SHERMAN AVE,,NEW YORK,NY,10034,2125447275,Manhattan,1
2068161-DCA,Business,03/31/2019,"SPECIALTY PARKING, LLC",,13530,140TH ST,,JAMAICA,NY,11436,321-228-6908,Queens,4
1180717-DCA,Business,03/31/2019,118 PARKING CORP.,,1682,PARK AVE,,NEW YORK,NY,10035,2127367171,Manhattan,1
2043316-DCA,Business,03/31/2019,130 ST. FELIX STREET PARKING CORP.,,130,SAINT FELIX ST,,BROOKLYN,NY,11217,2127419009,Brooklyn,3
1124818-DCA,Business,03/31/2019,ROYAL 89 PARKING LLC,,200,E 89TH ST,,NEW YORK,NY,10128,2126869800,Manhattan,1
1275681-DCA,Business,03/31/2015,QUIK PARK WEST 58TH LLC,QUIK PARK INC.,116,CENTRAL PARK S,,NEW YORK,NY,10019,2128322066,Manhattan,1
0367318-DCA,Business,03/31/2019,"ALMAR GARAGE, INC.",,700,PARK AVE,,NEW YORK,NY,10021,2127444750,Manhattan,1
2034503-DCA,Business,03/31/2019,165 STREET PARKING INC,,8835,165TH ST,,JAMAICA,NY,11432,6465994839,Queens,4
1291722-DCA,Business,03/31/2015,"COVE CAR PARK, LLC",,3085,VERNON BLVD,,ASTORIA,NY,11102,2122216111,Queens,4
1245815-DCA,Business,05/17/2017,"OCEAN CAR PARK, LLC",,17,BATTERY PL,,NEW YORK,NY,10004,2129966363,Manhattan,1
2037953-DCA,Business,03/31/2019,LM SUTPHIN PARKING LLC,,8822,SUTPHIN BLVD,,JAMAICA,NY,11435,2127143571,Queens,4
1461226-DCA,Business,03/31/2019,"IMPERIAL PARKING (U.S.), LLC",IMPARK,187,PACIFIC STREET,,BROOKLYN,NY,11201,212-934-8660,,
2001375-DCA,Business,03/31/2019,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",,351,JAY ST,,BROOKLYN,NY,11201,212-502-5490,Brooklyn,3
0972256-DCA,Business,03/31/2019,EASTSIDE PARKING LLC,,45,SUTTON PL S,,NEW YORK,NY,10022,2123558890,Manhattan,1
2007341-DCA,Business,03/31/2015,"CENTRAL PARKING SYSTEM OF NEW YORK, INC",,4007,73RD ST,,WOODSIDE,NY,11377,2126954568,Queens,4
2001372-DCA,Business,03/31/2015,"CENTRAL PARKING SYSTEM OF NEW YORK, INC",,158,W 20TH STREET,,NEW YORK,NY,10011,2125025490,Manhattan,1
1230416-DCA,Business,03/31/2019,MP 97 LLC,,217,E 96TH ST,,NEW YORK,NY,10128,212-490-3460,Manhattan,1
2059578-DCA,Business,03/31/2019,375 HUD PARKING LLC,,375,HUDSON ST,,NEW YORK,NY,10014,2126869800,Manhattan,1
2045012-DCA,Business,03/31/2019,65 WEST 55TH STREET PARKING CORP,,57,W 55TH ST,,NEW YORK,NY,10019,2127367171,Manhattan,1
1415834-DCA,Business,03/31/2019,QUIK PARK COOPER LLC,,301,E 86TH ST,,NEW YORK,NY,10028,2128322066,Manhattan,1
2028947-DCA,Business,03/31/2019,231ST STREET PARKING LLC,ALL COUNTY PARKIN,3217,IRWIN AVE,,BRONX,NY,10463,718-708-5077,Bronx,2
1005064-DCA,Business,03/31/2017,TAINO TOWERS GARAGE CORP.,,221,E 122ND ST,,NEW YORK,NY,10035,2125670234,Manhattan,1
1310482-DCA,Business,03/31/2015,EMPIRE 33 PARKING LLC,,38,W 33RD ST,,NEW YORK,NY,10001,2126869800,Manhattan,1
2013693-DCA,Business,10/08/2017,QUIK PARK TRUFFLES LLC,,312,W 34TH ST,,NEW YORK,NY,10001,2128322066,Manhattan,1
1130936-DCA,Business,03/31/2019,"CHAMPION PARKING 16, LLC",,101,E 16TH ST,,NEW YORK,NY,10003,2123085959,Manhattan,1
0850402-DCA,Business,03/31/2019,ACTIVE PARKING LLC,,2373,BROADWAY,,NEW YORK,NY,10024,2126869800,Manhattan,1
1196302-DCA,Business,03/31/2019,54TH & 2ND PARKING LLC,,300,E 55TH ST,,NEW YORK,NY,10022,2126869800,Manhattan,1
0901087-DCA,Business,03/31/2019,LTG PARKING CORP.,,165,W END AVE,,NEW YORK,NY,10023,212-686-9800,Manhattan,1
2056213-DCA,Business,03/31/2019,LA MARINA PARKING LLC,,284,DYCKMAN ST,,NEW YORK,NY,10034,34784325023,Manhattan,1
2044751-DCA,Business,01/03/2017,BELUGA PARKING CORP,,1830,E TREMONT AVE,,BRONX,NY,10460,2125416050,Bronx,2
1230769-DCA,Business,03/31/2019,"LIVINGSTON CAR PARK, LLC",GGMC,141,LIVINGSTON ST,,BROOKLYN,NY,11201,2129966363,Brooklyn,3
1460735-DCA,Business,03/31/2019,ENTERPRISE 51 PARKING LLC,,680,12TH AVE,,NEW YORK,NY,10019,2125643199,Manhattan,1
2000995-DCA,Business,03/31/2019,PARK RIGHT CORPORATION,,415,GREENWICH ST,,NEW YORK,NY,10013,2122624771,Manhattan,1
0883259-DCA,Business,03/31/2017,TAURUS MANAGEMENT CORP.,TAURUS PARKING  GARAGE,906,UNION ST,,BROOKLYN,NY,11215,7188661000,Brooklyn,3
1313397-DCA,Business,03/31/2019,PARK KWIK LLC,,20,JAY ST,,BROOKLYN,NY,11201,718-855-1730,Brooklyn,3
1175732-DCA,Business,03/31/2017,"90 WASHINGTON CAR PARK, LLC",GGMC,90,WASHINGTON ST,,NEW YORK,NY,10006,2129966363,Manhattan,1
0368502-DCA,Business,03/31/2019,GLOBAL PARKING LLC,,143,W 40TH ST,,NEW YORK,NY,10018,2126869800,Manhattan,1
1402608-DCA,Business,01/19/2015,PEAK TIME PARKING INC.,,4469,BROADWAY,,NEW YORK,NY,10040,7182204580,Manhattan,1
2034103-DCA,Business,03/31/2019,TYOS LLC,,1131,OGDEN AVE,,BRONX,NY,10452,7183025192,Bronx,2
1133061-DCA,Business,03/31/2015,CHAMPION 221 LLC,,216,CENTRAL PARK S,,NEW YORK,NY,10019,2123085959,Manhattan,1
2000588-DCA,Business,03/31/2019,"CENTRAL PARKING SYSTEM OF NEW YORK, INC.",,90,OCEANA DR W,,BROOKLYN,NY,11235,212-502-5490,Brooklyn,3
